sentence,label
The rate of preventive care  utilization was lower when the number of guideline-recommended services was higher,0
Those who  received such care had a lower risk of death within three months after discharge,0
"Among UK women, two-thirds of all deaths of smokers in their 50s, 60s, and 70s are caused by smoking; smokers lose at least 10 years of lifespan.",3
Liraglutide added to high-dose insulin therapy improved glycemic control,3
"Earlier and surgical menopause were associated with higher CHD risk. Among post-menopausal women, earlier menopause was linearly associated with higher CHD risk [HRconfounder and intermediate adjusted per-year decrease = 1.02, 95% confidence interval (CI) = 1.01–1.03, p = 0.001]. Women with a surgical menopause were at higher risk of CHD compared with those with natural menopause (HRconfounder-adjusted = 1.25, 95% CI = 1.10–1.42, p < 0.001), but this attenuated after additional adjustment for age at menopause and intermediates (HR = 1.12, 95% CI = 0.96–1.29, p = 0.15).",1
The risk of injury resulting in more than seven days of time loss from play was reduced by 33% among Bantam hockey players in a league where bodychecking was allowed two years earlier in Pee Wee compared with Bantam players introduced to bodychecking for the first time at age 13.,3
"calcium channel blockers and losartan are associated with a lower risk of incident gout among people with hypertension. By contrast, diuretics, β blockers, angiotensin converting enzyme inhibitors, and non-losartan angiotensin II receptor blockers are associated with an increased risk of gout.",1
"participation in self-selected activities such as LTPA and walking are positively related to mental well-being, whereas total levels of free-living PA are not",1
elevated in utero Hg exposure was associated with a higher risk of OWO in childhood,1
"A moderate level of muscular strength is associated with a lower risk of type 2 diabetes, independent of estimated CRF.",1
"Children who gained weight faster than their peers, particularly at later ages, had higher blood pressure at the age of 6.5 years, with no association between birthweight and blood pressure.",0
The intervention may increase FOBT attendance.,1
High physical activity was associated with a  lower risk of colon cancer: relative risk â‰¥91 MET-h/week vs <91 MET-h/week = 0.75  [95% confidence interval (CI): 0.57 to 0.96].,2
Our study indicated that low education is a causal risk factor in the  development of lung cancer.,3
"Although the barrier prevented suicides at Bloor Street  Viaduct, the rate of suicide by jumping in Toronto remained unchanged.",3
Gallstone disease seems to be independently associated to cardiovascular disease.,2
"In this cohort of Spanish individuals with elevated intake of fish and a high adherence to the Mediterranean diet, consumption of blue fish and n-3 PUFA had a prospective protective association with deficits accumulation.",2
"Living alone is associated with a substantially increased risk of alcohol-related mortality, irrespective of gender, socioeconomic status, or the specific cause of death.",3
"n this large cohort of Swedish male military conscripts, low aerobic capacity and muscle strength at age 18 years were associated with increased long-term risk for type 2 DM, even among those with normal body mass index.",2
Cost sharing was associated with lower  CR attendance and exhibited a dose-response relationship such that higher cost  sharing was associated with lower CR attendance.,2
"Among a national cohort of veterans dually enrolled in VA and Medicare, receiving prescriptions from both sources was associated with greater risk for receiving potentially unsafe overlapping prescriptions for opioids and benzodiazepines.",2
There was a moderately elevated spatial residual relative risk.,2
We found that women with PCOS have an  increased rate of NAFLD.,3
"The implementation of systematic cross-checking between emergency physicians was associated with a significant reduction in adverse events, mainly driven by a reduction in near misses.",2
Preterm and early term birth are strong risk factors for the development of CKD from childhood into mid-adulthood.,3
"Sleep deficiency due to either sleep apnea or insufficient sleep duration is strongly associated with motor vehicle crashes in the general population, independent of self-reported excessive sleepiness.",3
Interventions on BMI and physical activity may have a modest impact on the risk of adult-onset asthma in this population of US women.,2
"In conclusion, we observed substantial differences in incidence of AF between immigrant groups and the Swedish-born population.",2
"After adjustment for potential confounding factors, including maternal psychiatric disorders and use of other psychiatric drugs, the adjusted hazard ratio was reduced to 1.39 (95% confidence interval 1.07 to 1.82, P=0.01).",0
A high resting heart rate is independently associated with an increased risk of type 2 diabetes in women.,2
Primary Sjögren's syndrome is associated with a markedly increased risk of cardiovascular disease and the presence of Ro/SSA and La/SSB autoantibodies identify the subgroup of patients carrying the highest risk.,3
Our study suggests that increased iron levels are causally associated with a decreased risk of developing PD,3
"Adults with BLV, ID, or SCI were less likely to receive and adhere to CRC screening  recommendations than those without these disabilities.",1
