"sentence	label	source"
"Permitting continuous rather than binary ''all-or-nothing'' contributions significantly increases contributions and facilitates provision.	3	ssc"
"Conversely, when switching from short games to long games, participants immediately begin to cooperate at a high level.	3	ssc"
"Interacting with others in large populations without structure greatly reduces the likelihood of cooperation (11), but in a fixed social network cooperation can evolve as a consequence of repeated interactions because of ""social viscosity,"" even in the absence of reputation effects or strategic complexity (1,2).	3	ssc"
"The resulting increase in group distinctiveness can be expected to affect group perceptions (Spears et al., 1985;Acorn et al., 1988;fcfonnell et al., 1994) and ingroup favoritism should generally increase with salience of the ingroup (see the meta-analysis by Mullen et al., 1992).	2	ssc"
"The intuition is that in that case there always exist strategy combinations in which a single (pivotal) player's investment in monitoring causes an increase of the MPCR above 1, transferring the public into a private good and making the investment profitable and, as a consequence, making positive investments in monitoring individually rational.	3	ssc"
"Secondly, the experience of conflict may create or deepen ingroup identity, strengthening other-regarding preferences toward in-group members and making it more attractive to cooperate within groups.	2	ssc"
"Thus, they understand that they need to cooperate among themselves if they want to earn money.	1	ssc"
"If the goal-transformation hypothesis is correct, then the behavior of proselfs should be affected more strongly by the type of identity that is salient (personal vs. group).	3	ssc"
"In the game, a leader usually emerged and the leader's pleadings for cooperation were harder to ignore because all the players had experienced the results of greedy play.	3	ssc"
"Our experiments have led us to conclude that cooperation rates can be radically affected by one factor in particular.. . .	2	ssc"
"The presence of such a leader tends to increase coordination.	1	ssc"
"An examination of histograms of scores for each condition suggests that people tended to lapse into either full cooperation or full defection in the no communication condition, which greatly increases the variance of the condition.	3	ssc"
"Thus, we compare people who hold the evoked identity to people who are familiar with, but who do not hold, that identity: if identity is important in the current effects, those who do not hold the evoked identity will not be affected by identity-salience manipulations.	2	ssc"
"The group's average contribution across periods 1-16 (""Contribution P1-16"") has a significantly positive impact on the probability of appointing a leader in period 17 and in period 21.	3	ssc"
"At the opposite, people do not have a strong adverse reaction to external regulation and follow the elected rules because there is a general and specific trust that others will also follow the rules.	3	ssc"
"The payoff of the lottery ticket depended on the result of a toss of a fair coin with ""heads"" resulting in a payoff of two dollars and ""tails"" resulting in no payoff.	3	ssc"
"Otherwise, if the accumulated gain explains the behaviour of the birds but the one trial gain does not, then the birds are making decisions based on the four trial reward and are playing a mutualism game.	2	ssc"
"If it is considered 'fair' to contribute to a public good, perhaps because others are also doing so, then many people will be prepared to make voluntary contributions.	3	ssc"
"Thus, a leader who dislikes disadvantageous inequality would tend to opt for NEG as an incentive scheme.	1	ssc"
"However, there are also reasons to think that the treatment will lead to low contributions, since the reaction to the comprehension/advice combination may be defensive.	2	ssc"
"On one hand, these findings partially confirm our speculation vis-à-vis the role of risk taking: reciprocators were not necessarily cooperators under conditions of uncertainty, as some of them chose to cooperate because they could bear a high risk in anticipating the counterpart's goodwill.	3	ssc"
"An awareness of God may have also activated the fear of supernatural punishment as a consequence of defecting and not cooperating (Johnson 2005;Johnson and Kruger 2004;Johnson, Stopka, and Knights 2003).	2	ssc"
"It is the combination of chronic, self-protective mistrust with hyperactivated affiliation that leads to inconsistency and increased decisional effort.	3	ssc"
