sentence,label,source
We found no independent association of perceived discrimination with  risk of incident CV disease or HF hospitalization in this AA population.,1,Haber
"Short-term side effects are uncommon , but include headache from eyestrain , nausea , agitation or nervousness .",1,semeval
The presence of an in situ stent did not interfere with surgery.,1,Pubmed data.csv
"Compared with long and frequent home hemodialysis, kidney transplantation may allow kidney failure patients to be successfully treated and to live longer, but it may also increase their risk of being hospitalized within the first year.",1,Press_Release
"Among US adults, higher consumption of dietary cholesterol or eggs was significantly associated with higher risk of incident CVD and all-cause mortality in a dose-response manner.",1,Haber
"Early on August 9 , Muifa weakened to a tropical depression in Northeast China and became a low pressure area later .",1,altlex
"IL11-RA, MLF1P, and ER+ were the determinants that were associated with increasing bone metastasis incidence.",1,Pubmed data.csv
Some comments from readers highlight the frustration and inconvenience caused by the 3-pin system .,1,semeval
"Nicholas planned a railway from Russian Georgia to the conquered territories , so that fresh supplies could be brought up for a new offensive in 1917 .",1,altlex
""" That shows he's nervous about pinpointing his location, either because he's afraid we 'll find him, or that internal enemies will, "" says one U.S. official.",1,ctb
"Patients receiving higher doses of prescribed opioids are at increased risk of
opioid overdose",1,Haber
"The advisory, published in the American Heart Association's journal Circulation, is based on a thorough review of recent laboratory, animal, observational and clinical studies that reaffirm the  association's 2011 advisory that limiting sodium (salt) to less than 1,500 mg per day is linked to a decreased risk of high blood pressure and cardiovascular disease, including stroke.",1,Press_Release
"They were more likely to have hypertension, high triglycerides, low high-density lipoprotein cholesterol, albuminuria and elevated alanine aminotransferase.",1,Pubmed data.csv
"A Texas inmate escaped from a prison van near Houston after pulling a gun on two guards who were transporting him between prisons , according to a Texas prison statement Monday .",1,esl2
Argentina was the destruction of the natural grasslands caused by the expansion of the cropping frontiers starting in 1875 .,1,semeval
"First of all, your committee has been out in front on this, but let's get the GSE reform legislation done, to have a strong, independent regulator that will inject confidence into those institutions and into the markets, and that's a very positive thing.",1,because
And of course I maintain that they're in disarray because our monetary policy disrupts the markets because we create interest rates below market rates.,1,because
A scheme establishing access to the East Sussex countryside for disabled people draws to a close .,1,semeval
"Premature babies are more likely to survive when they are born in high-level neonatal intensive care units (NICUs) than in hospitals without such facilities, and this benefit is considerably larger than previously reported.",1,Press_Release
"Their chemical activation by light (halogen , plasma , lasers , etc . ) enhances their efficiency by reducing exposure time and number of appointments .",1,semeval
"he race/ethnicity and income pattern of opioid overdoses mirrored prescription rates, suggesting that differential exposure to opioids via the health care system may have induced the large, observed racial/ethnic gradient in the opioid epidemic.",1,Haber
"The acidity is caused by the gradual buildup of carbon dioxide (CO2) in the atmosphere , dissolving into the oceans .",1,semeval
"Moreover, these biomarkers are predictors of T2DM subjects and should take more attention to measure levels of these as well as to target therapy/interventions.",1,Pubmed data.csv
"Myocardial infarction survivors who consume a higher-quality diet,  which has been associated with a lower risk of coronary heart disease in primary prevention, have lower subsequent all-cause mortality",1,Haber
"More specifically, participants influenced by a charismatic leader (i.e., high in self-sacrifice) were found to contribute more money to a charity fund, and this pattern was mediated by perceptions of charisma.",1,Ssc
The better acceptance of a nasally administrated vaccine could increase vaccination coverage in the future for nasal vaccines.,1,Pubmed data.csv
