sentence,label,source
This result is consistent with a previous study which suggests that behaving dishonestly leads to the forgetting of rules [24].,3,ssc
"When everyone has made a choice, the outcome and the choices of the other members of your committee are revealed, and this determines your earnings for the match.",3,ssc
"Mason et al. (1991, p. 228) comment that ``[k]nowing the gender of a rival may have crystallized gender motivated dierences in behavior causing such dierences to persist and apparently become more pronounced over time.",2,ssc
"Large coalitions mean few outsiders but, at the same time, high free-rider benefits if the coalition members fully internalize their mutual benefits.",3,ssc
"In our study, by perceiving the punishment executer to be human, we show that such a rule could emerge spontaneously because the rule benefits the punishment executers themselves.",3,ssc
"Cook and her colleagues examined another condition of PD/D in which two players were randomly matched in each trial, and found that the positive effect of the opportunity to separate trust and cooperation provided by the PD/D requires that the game be played between particular partners repeatedly.",3,ssc
Isaac and Walker (1988b) present experimental evidence that the ability to talk among group members participating in a public goods game leads to increased cooperation in the form of higher contributions and lower free-riding.,3,ssc
"interactions reduce the degree of control in the experiment because it is difficult to assess whether appearances, show banter, and the like influence observed decisions.",3,ssc
"The alternative model predicts the following predictions: P 1 : When there is no tax imposed, individual contributions will exceed 5. P 2 : When a tax of 3 is imposed, total individual contributions will exceed the individual contributions made when there is no tax imposed.",3,ssc
"More specifically, the MCL may be higher in the VCM with real-time contributions simply because people tend to contribute more when they are observed, even if the observers' actions are not affected by this monitoring.",2,ssc
Increased average contributions with excludability are caused by significantly fewer free riders and more full contributors; see the last column of Tables B2.1 and B2.2 in the Appendix.,3,ssc
"If so, a denomination's position on the church-sect continuum -which may also be represented by its theological position -may help to explain its members' giving patterns.",2,ssc
"When people perceive a relationship partner as highly agreeable, they feel more comfortable resolving conflicts (Jensen-Campbell et al., 2002) and are more inclined to solve conflicts through informal mechanisms (rather than including a third-party mediator; Morris, Leung, & Iyengar, 2004).",2,ssc
"Alternatively, motivational factors may diminish children's cooperative reasoning and actions in the face of personal costs.",2,ssc
"We consider nondivisibility to be the more important factor in determining individual members' willingness to contribute to the provision of the public good, because it directly affects the value of the good to the individual.",3,ssc
"Potlatches and other excessive public charitable displays suddenly begin to make sense when they are viewed as selfpresentation strategies (default, 1992).",1,ssc
"Thus, we compare people who hold the evoked identity to people who are familiar with, but who do not hold, that identity: if identity is important in the current effects, those who do not hold the evoked identity will not be affected by identity-salience manipulations.",2,ssc
"The group's average contribution across periods 1-16 (""Contribution P1-16"") has a significantly positive impact on the probability of appointing a leader in period 17 and in period 21.",3,ssc
"The very existence of a government that can promulgate and enforce regulations to deter free riding while acting as a faithful agent of its citizens depends on voluntary pro-social acts such as citizen scrutiny of politicians' actions, self-education about political issues, and making the effort to vote in elections.",2,ssc
The results suggest that remembering an experience of rejection can trigger anger and ruminating on being rejected can trigger indirect aggression.,1,ssc
"When players have the option of punishing each other after the contribution stage, the effect of the moral messages on contributions becomes persistent: punishments and moral messages interact to sustain cooperation.",2,ssc
"We find that conflict increases cooperation within groups, while decreasing cooperation between groups.",3,ssc
We argue and show that an important reason why people apply the do-no-harm principle to their use of sanctions is because they feel personally responsible for the harm done.,2,ssc
"If a game is to be played many times, consideration of the cooperative choice may increase, since players can attempt to influence their opponent's future behavior.",2,ssc
"When the group boundaries are fixed, as they are in our research, jointness of supply has little direct effect on the provision of the public good.",3,ssc
"First, the task of learning and familiarization was harder, since the first choice of rules occurred before subjects had any experience interacting in a VCM with or without punishment.",1,ssc
"Acting for sacred values, collectively, provides a record of cooperative action and thus offers evidence of cooperative responses downstream.",3,ssc
Permitting continuous rather than binary ''all-or-nothing'' contributions significantly increases contributions and facilitates provision.,3,ssc
"The presence of such an ''empowered"" leader increases contributions, however, contributions are lower if the leader role is rotated among the group members compared to a situation when the leader is a fixed player.",3,ssc
"Both the Outcome for Others and the Equality of Outcomes depend on others, meaning when the total group is greater than two people, these others' properties are combinations of multiple people's behaviors, not just a single individual's behavior.",1,ssc
"The results of the present study constitute, in a way, a return to the idea that fairness judgments are not affected by dilemma type, although we now suggest that it is the presentation of decisions in the dilemma types that induces the focus.",1,ssc
"Individually rational and selfish behavior thus leads to Pareto-suboptimal outcomes, rendering the one-shot PD a classic example of a social dilemma [1,2].",3,ssc
"As actors participate in the production of public goods, processes of social comparison may affect the decisions about the individual contributions as well as the endogenously changing structure of an underlying social network.",2,ssc
Results demonstrate that awareness tools providing information about highly cooperative group members encourage participants to trust one another and minimize the risk of being exploited.,3,ssc
"However, previous research showed that SVO, measured a substantial amount of time in advance, still affected behavior in the predicted ways (e.g., mcclintock & Allison, 1989).",3,ssc
It is possible that people's ability to estimate the equal choice may decrease as the number of others with whom they are sharing a nonpartitioned resource increases.,2,ssc
"Although the intention behind this sanctioning system is to make garbage reduction relatively more attractive, the sanctioning system also may unintentionally cause dumping to become more attractive.",2,ssc
"If the memory advantage for expectancy-incongruent information is abolished under cognitive load, our ability to successfully engage in social cooperation would be impaired because this type of memory is essential for correcting maladaptive behavior tendencies.",2,ssc
"This leads to a 'fairness' scenario in which the wealth of richer subjects is invested in their local network, allowing poorer neighbours to gain wealth.",3,ssc
People who sacrifice on behalf of others like themselves are more prone to the self-interest illusion because they see the benefits as going to people who are like themselves in some salient way.,3,ssc
A natural explanation for the limited capability of a leader's signal to influence followers' beliefs under heterogeneity is the lack of followers' trust in the relevance of the signal to participants who do not share the religion of the leader.,3,ssc
"Such patrols not only deter free riding in itself but also generate information needed for the punishment of free riders, which is determined by an executive committee on the group level chaired by the group leader.",2,ssc
"d = .92. 3 Due to the modest sample size for examining moderately highly correlated predictors in regression, we examined correlations to determine the most likely predictors of interest for future research.",1,ssc
"Emotional energy is, thus, the result of both the euphoria of contagious public gatherings, the ecstasy of sexual encounters, the bonding of friendly exchanges, and it is an outcome of humiliating experiences, heated arguments, and violent episodes.",3,ssc
The discrepant levels of attention paid to music in relation to consumer behavior and employee or organizational behavior are most clear when considering retail workspaces because (i) customers and employees cohabit the locations and (ii) it is reasonable to expect that music that is selected to influence the behaviors of customers would have similar influences on employees.,2,ssc
"In other words, those subjects who showed a greater parochialism effect for contributing showed a greater self-interest illusion when the gain for their group was a loss for the other group.",3,ssc
Working together on a team-building task enhanced cooperative tendencies even with little or no financial incentive for performing the task.,3,ssc
"Therefore, if the attribution of intentions turns out to be behaviorally important, the ""consequentialism"" inherent in standard utility models is also in doubt.",3,ssc
There is some experimental evidence that groups are better off when punishment is delivered by a central agency than when group members sanction each other (O'GORMAN et al. 2009).,1,ssc
This result suggests that language activates group norms in a heterogeneous fashion: if different people's latent identities differ they can respond in very different ways to identical linguistic cues.,1,ssc
"The second insight is that the inefficiency observed in heterogeneous groups is not only due to the inefficiently low levels of contribution, but also due to a relative underuse of rewards.",3,ssc
"Of primary interest in this context is the latter interaction: block-ofrcd subjects who had participated first in the Paddle Game declined less in cooperativeness than those who had not, and tit-for-tat subjects with prior Paddle Game experience increased more in cooperativeness over trials than those without such experience.",3,ssc
This allowed them to condition their minimum proposal on the size of the coalition such that the internalization ratios a(k) may depend on the coalition size.,2,ssc
"Secondly, the experience of conflict may create or deepen ingroup identity, strengthening other-regarding preferences toward in-group members and making it more attractive to cooperate within groups.",2,ssc
"Our broad conclusion is that, while social desirability matters, the way it matters subtly depends on the social desirability personality type, and this in turn affects the social and experimental perceptions of what is demanded.",3,ssc
"This implies that conflict increases parochialism both by increasing preferences for in-group cooperation, and by decreasing preferences for out-group cooperation.",3,ssc
The consequence of these two evolutionary forces is that in equilibrium strong reciprocators and purely selfish humans coexist.,1,ssc
"In models based on income differences, if responders care for the utility of the other responder, then in addition to receiving disutility because the take authority has a higher income than they do, they will also receive disutility because the take authority has higher income than their friend does.",3,ssc
"We found that when people's mortality was not called to their attention, a need-focused appeal had more influence on their donation decisions than a bandwagon appeal.",3,ssc
"For the present purposes, we opted against counterbalancing, due to the demands that this would have placed on the number of different sequential arrangements, as well as a balanced distribution of young and old girls and boys.",3,ssc
An idealistically cooperative voice raised in a context that does not offer substantive advantages for cooperation may not be persuasive.,2,ssc
Sequential contributions decrease to the predicted equilibrium level and fall below the greater-than-expected contributions in the simultaneous game.,3,ssc
We argue and show that an important reason why people apply the do-no-harm principle to their use of sanctions is because they feel personally responsible for the harm done.,3,ssc
These results suggest that the shared outcomes involved in cooperation did increase cohesiveness.,2,ssc
"Specifically, when anticipated barriers lower the probability of successfully achieving one's interests, individuals should be more inclined to opt for the benefits of competitive actions.",2,ssc
The binary-choice is used because there is no a priori way of determining whether a second decider will interpret a given level of cooperation by the first decider in the continuous cooperation/sequential version as 'cooperative' or 'non-cooperative'.,1,ssc
"In the case of defaults, an endowment effect may be at work: people may perceive the default option as something they possess and, thus, place more value on it.",2,ssc
Attributing human character- istics and motivations to nonhuman agents increases the ability to make sense of an agent's action and reduces uncertainty.,3,ssc
"Berkowitz (1960) has demonstrated that unexpected frustrations produce more hostility than expected frustrations and, what is more important for the study reported here, that subjects who expect hostility and receive friendliness will reveal a greater trend toward friendliness than those subjects who have a reason to expect friendliness.",3,ssc
"The increase in average contributions for the US region in RN (29.8) relative to ON (26.7) is due to the fact that, in ON, 64% of American participants opted for the principles of future polluter-pays and equal percentage reduction of current  emissions, both of which are synonymous with the smallest public good contribution; conversely, in RN, 62% of Chinese participants selected the principles of equal per capita entitlement to emissions and historical polluter-pays, the equity principles that denote the largest contributions for the US region.",3,ssc
