sentence,label,source
We also find that the level of contribution under different default options is sensitive to the type of the public goods game employed.,2,ssc
If all participants adopt the strategy of never using the bus then they will each receive an earning of £25.,2,ssc
Our results show that social ties between group members influence both cooperation and norm enforcement -creating substantial differences between M G and SG.,1,ssc
Attributing human character- istics and motivations to nonhuman agents increases the ability to make sense of an agent's action and reduces uncertainty.,3,ssc
"I felt proud of myself, because thanks to me my two friends talked, and solved their problem.",3,ssc
These simulation results thus lend support to our claim that the strength of ties between actors can contribute to the evolution of cooperation in dynamic networks.,2,ssc
Result 3. The threat of inter-period feuds in LF reduces the frequency of altruistic punishment relative to the Baseline treatment.,3,ssc
"The intuition is that in that case there always exist strategy combinations in which a single (pivotal) player's investment in monitoring causes an increase of the MPCR above 1, transferring the public into a private good and making the investment profitable and, as a consequence, making positive investments in monitoring individually rational.",3,ssc
"When players have the option of punishing each other after the contribution stage, the effect of the moral messages on contributions becomes persistent: punishments and moral messages interact to sustain cooperation.",2,ssc
"The greater are others' contributions, the less is one rewarded, ceteris paribus -perhaps because there is little scope for either punishing or rewarding in groups in which all are contributing close to the maximum.",3,ssc
"Individual-scale variables like wealth and education may affect the costs of public goods provisioning or the benefits of short-term defection, and so wealthier and more educated individuals who can obtain resources more readily can expect to be more generous.",2,ssc
The point we try to make is that trust is relatively less important in the AG compared to the PG because the removal of the temptation to free ride in the former strengthens incentives to cooperate.,3,ssc
"Second, the absence of an effect of Openness might also be driven by statistical reasons, due to the structure of the MPT model: Parameter e is defined conditional on non-selfish behavior, which leads to fewer trials per person (and hence a lower statistical efficiency) for the estimation of parameter e than for parameter s.",3,ssc
"Based on the above reasoning, we predicted that individuals who anticipate pride about acting fairly would be more likely to divide resources between themselves and another in a fair way, whereas those who anticipate regret about acting fairly would be less likely to do so.",1,ssc
"In fact, a recent agent-based simulation also suggests that gossip-based partner selection increases cooperation, whereas the strategy to defect after knowing about free riders' reputation decreases cooperation 18 .",1,ssc
This allowed them to condition their minimum proposal on the size of the coalition such that the internalization ratios a(k) may depend on the coalition size.,2,ssc
"Research on legitimacy of authorities has shown that perceived legitimacy, in particular a shared sense of legitimacy, creates voluntary compliance with norms (ZELDITCH and WALKER 1984;TYLER 1997).",3,ssc
"That is, when there is no noise, there is an increase in cooperation over successive interactions (at least in the context of TFT and TFT ϩ 1 strategies).",3,ssc
"In both the minimum-effort game and the public goods game, social interaction implies that subjects' choices of numbers or contributions, respectively, are affected by the choices of their neighbors.",1,ssc
"In a simultaneous PGD, risk-averse prosocials defect more than risk-seeking prosocials do because risk-averse prosocials are more worried about losing their endowments than their risk-seeking counterparts.",3,ssc
"However, previous research showed that SVO, measured a substantial amount of time in advance, still affected behavior in the predicted ways (e.g., mcclintock & Allison, 1989).",3,ssc
"Thus, we compare people who hold the evoked identity to people who are familiar with, but who do not hold, that identity: if identity is important in the current effects, those who do not hold the evoked identity will not be affected by identity-salience manipulations.",2,ssc
"For the present purposes, we opted against counterbalancing, due to the demands that this would have placed on the number of different sequential arrangements, as well as a balanced distribution of young and old girls and boys.",3,ssc
We present a novel laboratory reciprocity experiment (the double-dictator game with sorting) and show that failure to account for external motives leads to a significant overestimation of internal motives such as fairness and altruism.,3,ssc
"In the absence of external cooperative incentives, people often choose to rely selectively on others with whom they share a group membership (e.g., Brewer, 2000Brewer, , 2008;;Packer & Kugler, 2017).",1,ssc
"In 2001, the Court ruled in United States v. United Foods, Inc. the mushroom checkoff program unconstitutional because it was a stand-alone checkoff advertising program and not part of a broader set of economic regulations.",3,ssc
A natural explanation for the limited capability of a leader's signal to influence followers' beliefs under heterogeneity is the lack of followers' trust in the relevance of the signal to participants who do not share the religion of the leader.,3,ssc
Ambiguity arises when a decision-maker finds it difficult or impossible to assign a subjective probability to an event.,1,ssc
"Windfall gains (e.g., winning the lottery) may lead to greater altruism, but wealth attained through participation in a market economy may not, since as Melvin Lerner and James Meindl (1981:219) note, ""coming to the aid of a person in need and sensitivity to their deservingness will occur if such responsiveness does not pose a threat to the actor's own deservingness.""",2,ssc
"Similarly, providing feedback on how one's energy use compares with one's neighbors had reduced consumption among American liberals but may have had the opposite effect among conservatives (80).",2,ssc
"Consider Pruitt and Kimmel's (1977) goal/expectation theory, which states that cooperation is more likely when trust is enhanced, but only if people also have a prosocial orientation (the goal to achieve mutual cooperation), if the trust explanation is true, then people with a prosocial orientation should contribute more when group identity is salient.",2,ssc
"In addition, results from the laboratory experiments reveal that subjects donate less when they are aware that an individual could have announced support but chose not to do so.",2,ssc
Threat was introduced by providing one or both subjects with a salient punitive capability in the form of a gate which could be closed by one subject to prevent access to the one-lane road.,2,ssc
"When the subject is faced with positive contribution to the public good by the computer, cooperative behavior can also be driven by inequality aversion and conditional cooperation.",2,ssc
Violent media may cause viewers to perceive greater anger and less gratitude during a cooperative task and as such be less inclined to cooperate.,2,ssc
"Our result suggests that the selfish prediction is prone to deviations when the equilibrium results in unequal distributions of payoffs, and there are alternative outcomes that increase both equality and the payoff of the disadvantaged party.",2,ssc
"We find that conflict increases cooperation within groups, while decreasing cooperation between groups.",3,ssc
"Our broad conclusion is that, while social desirability matters, the way it matters subtly depends on the social desirability personality type, and this in turn affects the social and experimental perceptions of what is demanded.",3,ssc
People may voluntarily contribute to a public good because they feel morally obligated to assist others in a common cause or because they realize that contributing will help the group as a whole.,2,ssc
"Second, it was concluded that highly threatening situations minimize the effects of idiosyncratic motives, perhaps arousing a common defensive motive.",3,ssc
One possible reason for the difference between these two studies is that learning effects are more likely to overwhelm the effects of pair IQ in longer games; this may be related to the finding that worker IQ is a stronger predictor of performance in the early months on a new job while IQ's predictive power for worker performance weakens after years spent in the same job (Hunt 1995).,1,ssc
"Thus, threats to a group generate increased solidarity (ee + ) within the threatened group, but also hostility (ee − ) against an opponent [72][73][74][75].",3,ssc
"Of primary interest in this context is the latter interaction: block-ofrcd subjects who had participated first in the Paddle Game declined less in cooperativeness than those who had not, and tit-for-tat subjects with prior Paddle Game experience increased more in cooperativeness over trials than those without such experience.",3,ssc
"Emotional energy is, thus, the result of both the euphoria of contagious public gatherings, the ecstasy of sexual encounters, the bonding of friendly exchanges, and it is an outcome of humiliating experiences, heated arguments, and violent episodes.",3,ssc
"ecause sacrifice increases the relative price of private production, it can screen freeriders from high-sacrifice groups while inducing the H-types to substitute towards more group investment.",3,ssc
We argue and show that an important reason why people apply the do-no-harm principle to their use of sanctions is because they feel personally responsible for the harm done.,2,ssc
"Cooperative corporate culture can be nurtured by starting small, as Weber (2006)  shows experimentally with a coordination game.",2,ssc
"However, people seem unwilling to use a commitment mechanism if doing so exposes them to being free ridden.",2,ssc
"When groups contributed more than 125 total tokens, efficiency was reduced because contributions over the minimum were not returned to individuals and were thus wasted.",3,ssc
"Both the Outcome for Others and the Equality of Outcomes depend on others, meaning when the total group is greater than two people, these others' properties are combinations of multiple people's behaviors, not just a single individual's behavior.",2,ssc
"Potlatches and other excessive public charitable displays suddenly begin to make sense when they are viewed as selfpresentation strategies (default, 1992).",1,ssc
Result 3. The choice of receiving feedback about individual earnings rather than about individual contributions is associated with a decrease in one's contribution in the next period.,1,ssc
"More specifically, participants influenced by a charismatic leader (i.e., high in self-sacrifice) were found to contribute more money to a charity fund, and this pattern was mediated by perceptions of charisma.",3,ssc
competitive individual) task led to less persistence on a subsequent task.,3,ssc
There is some experimental evidence that groups are better off when punishment is delivered by a central agency than when group members sanction each other (O'GORMAN et al. 2009).,1,ssc
"The alternative model predicts the following predictions: P 1 : When there is no tax imposed, individual contributions will exceed 5. P 2 : When a tax of 3 is imposed, total individual contributions will exceed the individual contributions made when there is no tax imposed.",3,ssc
Despite the interesting balance of incentives provided by introducing competition in the workplace -on one hand individual workers may exert more effort to win promotion or make more money while on the other overall production might suffer because of the lack of cooperation among workers -there has been remarkably little empirical work estimating the effect of competition on workplace cooperation.,2,ssc
"In this paper, we neither attribute behavioral differences between the 'elite' and the rest of society to endowment differences nor to self selection (a positive correlation between selfishness and endowment); rather we hypothesize in line with Cote et al. (2015) and Heap et al. (2016) that the inequality in the society itself makes elite members more selfish and less generous.",2,ssc
"Observed individual differences in the resting cortisol levels and social memory performance under the social stress condition may be due to individual differences in HPA reactivity, personality traits, and the level of GR/MR expression in the hippocampus [10].",1,ssc
5. Stability: Groups may be more stable when entry is restricted compared to the other two conditions if subjects are able to generate cooperation.,2,ssc
"Previous research indicates that people who strongly identified with the in-group are more competitive toward the out-group (e.g., Chase, 1992).",2,ssc
"Therefore, if the attribution of intentions turns out to be behaviorally important, the ""consequentialism"" inherent in standard utility models is also in doubt.",3,ssc
"Identifying the strategy employed by players engaged in an IPD could also have wider implications for understanding the determinants of social conflicts in general, and help to design effective methods for ameliorating these problems.",1,ssc
"Individually rational and selfish behavior thus leads to Pareto-suboptimal outcomes, rendering the one-shot PD a classic example of a social dilemma [1,2].",3,ssc
"As one individual increases his or her effort, the personal payoff increases regardless of other individuals' actions (the left panel); however, as the aggregate effort of the other individuals increases, the payoff for that particular individual decreases (the right panel), more clearly demonstrating the negative externality.",3,ssc
"We found that communication still improves group performance even with increased difficulties in communication and limited information about the resource, but the level of benefit for having communication is reduced.",3,ssc
"The similarity between single-player and multi-player versions of the IPD can provide a powerful research model as the reduction from two to one players reduces the number of uncontrolled and interacting variables involved in the prisoner's dilemma (Fantino, 2004).",2,ssc
"If industries can relocate easily, then the level of pollution would depend on the country with the weakest environmental regulation.",3,ssc
