sentence,label,source
Result 3. The choice of receiving feedback about individual earnings rather than about individual contributions is associated with a decrease in one's contribution in the next period.,1,ssc
"When groups contributed more than 125 total tokens, efficiency was reduced because contributions over the minimum were not returned to individuals and were thus wasted.",3,ssc
This equilibrium arises because with more than one person contributing at least one contribution is wasted because that second person would be better off by not contributing.,2,ssc
"In contrast, if the negativity bias argument applies to the VCM setting, then these two ratings may produce asymmetric levels of cooperation, as predicted by the hypothesis.",2,ssc
When numerical cheap talk was combined with a punishment option there were many cheap talk threats of punishment and cheap talk responses with higher cheap talk contributions.,3,ssc
"(If commitments are more than just con-  .20 tracts with particular people, but are also prebehavior choices to behave in a particular way, such a correlation will occur even after a switch has been made and the contractual relevance of the people to whom the commitments were made has been removed.)",1,ssc
"Furthermore, we believe that participants who punish cheaters are those who espouse the state of mutual cooperation as a goal and thus might feel guilty for not punishing cheaters and thus failing to promote mutual cooperation.",2,ssc
"It is the combination of chronic, self-protective mistrust with hyperactivated affiliation that leads to inconsistency and increased decisional effort.",3,ssc
"Certainly, strong social bonds make visualizations of others easier, providing a firmer impetus for volunteering.",3,ssc
"Because the approach of pausing first-order collective action for multiple punishment stages has been explored extensively by others and because situations that it may fail to mirror well strike us as common and important, we study higher-order punishment in a repeated play dilemma game with the constraint that the number of punishment stages not exceed the number of contribution stages by more than a factor of two.",2,ssc
"If both firms opt for the low Nash equilibrium price, though, market-level profits and wages will be minimized.",3,ssc
It is therefore possible that the higher rates of cooperation in PD are (partly) due to the smaller size of the action set.,1,ssc
"In this paper, we neither attribute behavioral differences between the 'elite' and the rest of society to endowment differences nor to self selection (a positive correlation between selfishness and endowment); rather we hypothesize in line with Cote et al. (2015) and Heap et al. (2016) that the inequality in the society itself makes elite members more selfish and less generous.",2,ssc
They produce evidence to support the notion that a greater MPCR distance increases contribution by making the gains from cooperation in the social dilemma more salient for all group members. 18,3,ssc
Our study tests why discounting a belief in free will increases the likelihood of uncooperative behavior.,3,ssc
"A second experiment demonstrates that when electoral delegation must be endogenously implemented, individuals voluntarily cede authority to an elected agent only when preplay communication is permitted.",2,ssc
"Windfall gains (e.g., winning the lottery) may lead to greater altruism, but wealth attained through participation in a market economy may not, since as Melvin Lerner and James Meindl (1981:219) note, ""coming to the aid of a person in need and sensitivity to their deservingness will occur if such responsiveness does not pose a threat to the actor's own deservingness.""",2,ssc
"However, people seem unwilling to use a commitment mechanism if doing so exposes them to being free ridden.",2,ssc
"In contrast, increasing individuals' awareness of their mortality apparently leads them to base their donation decisions on the social desirability of providing help, as reflected in the amount of help provided in the past (Experiments 1-3) and others' preferences (Experiment 4).",3,ssc
"We find that in the presence of conditional cooperators, common knowledge does enhance efficiency mostly because the advice left in this treatment is more exhortative.",3,ssc
"Based on the above reasoning, we predicted that individuals who anticipate pride about acting fairly would be more likely to divide resources between themselves and another in a fair way, whereas those who anticipate regret about acting fairly would be less likely to do so.",1,ssc
"Previous research indicates that people who strongly identified with the in-group are more competitive toward the out-group (e.g., Chase, 1992).",2,ssc
"II it was predicted that Ss would exploit an egotistical opponent to a greater extent when future interaction was anticipated than when it was not, but that when the opponent was seen to be self-effacing Lhe reverse would be true.",2,ssc
"On a more general level, the present study generates new insights into the relation between social uncertainty and environmental uncertainty by showing that the way in which people deal with social uncertainty is affected by the uncertainty people may experience regarding environmental information (cf.",1,ssc
Bargainers with a significant threat tend to threaten and fine more often.,2,ssc
"As a consequence, confounding effects such as reputation building through punishment or strategic reasons for punishing to increase cooperation in repeated interactions, as shown by Gächter et al. (2004) and Gächter and Herrmann (2009), can be excluded and a clear theoretical benchmark for standard preferences can be derived.",1,ssc
We used this proportional measure of punishment rather than the raw amounts that participants spent for punishing each trader because the total amount that they spent for punishment varied among participants.,3,ssc
"As for the issue of sanctions, we noted earlier that due to trust based in the system, sanctions can increase expectations of cooperation.",2,ssc
"If participants in the Public Goods Game exhibit loss aversion, they will react more strongly to the prospect of being punished than to potential rewards; thus making punishment the more effective enforcement mechanism.",3,ssc
"When such conditions exist, there is an intraclass correlation (ICC), and the assumption of independence of observations for regular regression is violated (Hox, 1998;Kreft & De Leeuw, 1998;Raudenbush & Bryk, 2002).",2,ssc
"If there were no time value, then there would be no advantage to hiring an agent first (since the other party would respond by hiring an agent instantaneously), and therefore a prisoner's dilemma could not exist.",2,ssc
"An examination of histograms of scores for each condition suggests that people tended to lapse into either full cooperation or full defection in the no communication condition, which greatly increases the variance of the condition.",3,ssc
These simulation results thus lend support to our claim that the strength of ties between actors can contribute to the evolution of cooperation in dynamic networks.,2,ssc
"Thus, much like the real world, if harvesters mismanaged the resource during the early stages of the simulation, there was less available during the later stages.",3,ssc
"Cooperative corporate culture can be nurtured by starting small, as Weber (2006)  shows experimentally with a coordination game.",2,ssc
"Because there is attention to the content of the choices, WCLD becomes an affective version of TFT rather than a mere mimic.",3,ssc
"But with simultaneous decisions, the risk that others might not cooperate can lead players to defect (the risk-dominant equilibrium).",2,ssc
I do not conserve energy because it benefits others at a cost to myself.,3,ssc
"Thus, a leader who dislikes disadvantageous inequality would tend to opt for NEG as an incentive scheme.",1,ssc
If all participants adopt the strategy of never using the bus then they will each receive an earning of £25.,2,ssc
"The public-goods literature finds that as groups increase in size individuals become more hesitant to cooperate and less able to coordinate actions (Franzen, 1995;Knez & Camerer, 1994).",3,ssc
Our experiments have led us to conclude that cooperation rates can be radically affected by one factor in particular.. . .,2,ssc
"As such, people from different societies will tend to express different preferences and beliefs: one should be able to measure between-group variation.",2,ssc
"If it is true that antisocial punishment is based on the intuitive system and especially likely executed by individuals with a proneness to sadistic tendencies, then the inhibition of the intuitive system should reduce antisocial punishment in individuals with a proneness to sadistic tendencies.",2,ssc
"This is evidence that is consistent with the hypothesis that the Perfect Strangers treatment affects qualitative behavior, in the sense that it elicits more subjects to focus on the zero contribution response.",3,ssc
The fact that the cooperative robot always followed through with the stated intent should have enhanced the perception of it as trustworthy.,2,ssc
We present a novel laboratory reciprocity experiment (the double-dictator game with sorting) and show that failure to account for external motives leads to a significant overestimation of internal motives such as fairness and altruism.,3,ssc
"If it is considered 'fair' to contribute to a public good, perhaps because others are also doing so, then many people will be prepared to make voluntary contributions.",3,ssc
The groups convened in separate adjacent classrooms to prevent communication between groups.,3,ssc
"Here we show that, unlike material sanctions, moral judgments do not result in cycles of recrimination and tend to ""crowd in"" interpersonal trust, trustworthiness, and generosity.",3,ssc
"Consequently, emotional responses from past exchanges influences the behavior of actors in the future.",3,ssc
""" 5 contexts lead actors to rely more on contributions to the group than competitive contexts, while competitive contexts lead actors to rely more on punishment of others than cooperative contexts.",2,ssc
"Selfish players may choose to reveal private information through costless and non-binding communication or cheap talk; such revelation can lead to efficiency gains, as shown by Crawford and Sobel (1982).",2,ssc
"Both the Outcome for Others and the Equality of Outcomes depend on others, meaning when the total group is greater than two people, these others' properties are combinations of multiple people's behaviors, not just a single individual's behavior.",2,ssc
"On one hand, these findings partially confirm our speculation vis-à-vis the role of risk taking: reciprocators were not necessarily cooperators under conditions of uncertainty, as some of them chose to cooperate because they could bear a high risk in anticipating the counterpart's goodwill.",3,ssc
"The maintenance of social norms often depends on external enforcement, as in the absence of credible sanctioning mechanisms prosocial behaviour deteriorates quickly.",3,ssc
"That is, when there is no noise, there is an increase in cooperation over successive interactions (at least in the context of TFT and TFT ϩ 1 strategies).",3,ssc
The point we try to make is that trust is relatively less important in the AG compared to the PG because the removal of the temptation to free ride in the former strengthens incentives to cooperate.,3,ssc
"If the goal-transformation hypothesis is correct, then the behavior of proselfs should be affected more strongly by the type of identity that is salient (personal vs. group).",3,ssc
"Gaining from the public good provided by their group, subjects increased their initial budget of 200 Rs by 59%.",3,ssc
"In two behavioral experiments, we offer individuals the latter possibility: Participants can work together to increase the total size of the pie and hence increase the size of their own slice.",3,ssc
"For example, one study showed that when perceived moral levels were lower than participants' actual moral levels, the moral licensing effect resulted in reduction of the frequency of ethical behaviors, and when participants perceived higher moral levels, they showed an increase in ethical behavior [47].",3,ssc
"The intuition is that in that case there always exist strategy combinations in which a single (pivotal) player's investment in monitoring causes an increase of the MPCR above 1, transferring the public into a private good and making the investment profitable and, as a consequence, making positive investments in monitoring individually rational.",3,ssc
"Second, deviation from the dominant strategy leads to a higher joint payoff for the group, and enough contributions produce an outcome that is Pareto superior to the dominant strategy equilibrium outcome.",3,ssc
"Generational differences, maturation, and cultural shift imply that stereotype activation should not affect Millennial entitlement because the change in entitlement occurred in the past and is observed retrospectively.",2,ssc
"Because we conjectured that the opportunity for punishing would have a larger impact if subjects could learn about the behaviour of other group members, we repeated the basic public goods gameÐwith and without punishment opportunity, depending on the treatmentÐfor six periods.",2,ssc
"Further, because direct reciprocity was not possible in our experiments, sharing arrangements were not self-enforcing.",3,ssc
"Yet, when group identification was high, both leader types appeared to be equally efficient.",2,ssc
