sentence,label,source
The gains or losses incurred by the players on each trial are dependent on choices made by both of them between two available behaviors.,3,ssc
"Without data on both expectations and contributions, it can be difficult to identify the strategies adopted by participants in economic games, a necessary step to test fully theories of cooperation.",2,ssc
"Thus, threats to a group generate increased solidarity (ee + ) within the threatened group, but also hostility (ee − ) against an opponent [72][73][74][75].",3,ssc
"At the opposite, people do not have a strong adverse reaction to external regulation and follow the elected rules because there is a general and specific trust that others will also follow the rules.",3,ssc
There are indications that the unequal range of pay-off accelerated the observed trends rather than reversing them.,2,ssc
"The results of this study suggest that while it is true that people with an altruistic or cooperative orientation will participate more than those with an individualistic or competitive orientation, their participation is likely to be reduced if they observe other membersÕ defection behavior.",2,ssc
"In particular, participating in a low-payment choice before making a high-payment choice magnifies the scale of the utility received/payoff from the subsequent task.",3,ssc
"As mentioned above, in condition II, participants had no risk of losing money, which eventually leads to greedy incentives for the participants.",3,ssc
"For example, past research has shown that individual differences in social value orientation (SVO), a measure of concern for both self and others outcomes in interdependent social interactions (Messick & mcclintock, 1968), is able to predict contribution to public goods (e.g., Stouten, De Cremer, & Van Dijk, 2005. cf. Parks, 1994), even when defection is objectively the most economical course of action (Komorita & Parks, 1996).",1,ssc
These subjects condition their contribution on the other group members' contributions and their willingness to contribute to the common project increases with the contributions of the other group members.,3,ssc
"When there is no privately provided public good, subjects can cooperate only through paying taxes.",3,ssc
"In this, greater Black cooperation in this social dilemma may in part be the result of coping strategies developed by Black students to overcome social-structural and institutional hurdles faced by students of color.",2,ssc
The employers appeal to the strong reciprocity of the workers by being more generous as  the desired effort level becomes more costly to the worker.,3,ssc
"At the same time, campaigns for blood donation might benefit from clarification about who is eligible to donate and from efforts to reduce fear of the process of drawing blood.",2,ssc
The absence of an end-game effect or of a negative time trend in these groups is remarkable and offers evidence that unobservable sanctions can have a long-term impact on cooperation.,2,ssc
"A possible transformation of material payoffs into an internal subjective game through the use of information about themselves, their group members, and the incentives of the repeated game may induce cooperative behaviour as a rational strategy in a collective-action setting.",2,ssc
"Since the same presentation of information was used in her experiment, significant positive effects of trust on group size was observed even in the experimental situation where only this minimal information about others' behavior was presented.",1,ssc
"In conservation psychology, the accumulated evidence indicates that people's conservation performance is strongly determined by normative prosocial influences.",2,ssc
More intelligent subjects were significantly more likely to vote for whichever of FS or IS was associated with higher earnings ex post.,1,ssc
Tooby & Cosmides (1996) propose that the establishment of stable and friendly relationships between group members favoured the exchange of help when needed and thus reduced the risks of the situation described by the banker's paradox.,3,ssc
"If industries can relocate easily, then the level of pollution would depend on the country with the weakest environmental regulation.",2,ssc
"Since the motorization of fishing boats in the early 1930s, competition among fishing units for access to the shiroebi stock has become a chronic problem.",3,ssc
"However, we believe that excludability can (and does) provide an effective, low-cost way to induce cooperation, increase efficiency and support team production in social dilemmas and related situations.",2,ssc
""" 5 contexts lead actors to rely more on contributions to the group than competitive contexts, while competitive contexts lead actors to rely more on punishment of others than cooperative contexts.",3,ssc
"Through such mechanisms, a deliberation treatment might increase cooperation in the second stage of a sequential prisoner's dilemma, contrary to the prediction of the SHH.",2,ssc
"This idea can be linked to the one in Kreps, Milgrom, Roberts, and Wilson (1982): if fully rational and egoistic individuals have the faintest suspicion they might be interacting with tit-fortat players, there is room for cooperative equilibria.",2,ssc
"This interpretation suggests that if the factors that weaken the case for the dominant or competitive choice were eliminated in the repeated-play PD, the prescriptive behavior would be obtained.",2,ssc
"In many social-game protocols, ranging from gift-exchange over ultimatum bargaining to public-good situations, human behaviour differs substantially from the Nash-equilibrium that results if we assume that players care only about their own monetary payoff.",2,ssc
"The results of these groups show a crystal-clear picture: Participants overwhelmingly elected the best candidate in the absence of conflicts, but once competitive ''bribes'' were introduced, knowledge-sharing broke down, and the groups failed to pool information and to uncover the objectively best candidate, so an inferior candidate was elected in more than 80% of these elections.",3,ssc
"In the game, a leader usually emerged and the leader's pleadings for cooperation were harder to ignore because all the players had experienced the results of greedy play.",3,ssc
" Sullivan & Lyle questioned the effect of player-player anonymity, emphasizing that the imperfectness of the anonymity might have influenced play.",2,ssc
"An awareness of God may have also activated the fear of supernatural punishment as a consequence of defecting and not cooperating (Johnson 2005;Johnson and Kruger 2004;Johnson, Stopka, and Knights 2003).",2,ssc
"We predicted that in absence of a sanctioning system, people would show little support for a sanctioning system unless there is collective inefficiency, and that in presence of a sanctioning system, people would support the sanctioning system, irre-spective of the information people have concerning collective (in)efficiency.",2,ssc
Our studies suggest that sometimes coordination can be easily promoted by simply pointing out to people that certain information is available to all people involved.,2,ssc
"Specifically, with the addition of the G allele on rs237887, self-reported positive emotional reactions significantly decreased (see Figure 1).",3,ssc
We use an experiment with multiple threshold public goods to show how increasing the number of public goods vying for funding can decrease both total contributions across all goods and the probability that any public good receives enough donations to succeed.,3,ssc
It was concluded that the high degree of competitiveness typically found in PD game studies may be largely a function of the isolation imposed on the subjects by the experimenter.,2,ssc
"We found that communication still improves group performance even with increased difficulties in communication and limited information about the resource, but the level of benefit for having communication is reduced.",3,ssc
"When people do not know the victims and have little if any positive regard for them, their donation behavior may be influenced primarily by criteria that they apply independently of their feelings of sympathy or empathy.",2,ssc
Pregnancy complications up to twice higher in women born preterm,1,press_release
There are no indications that endogenous and exogenous gonadal hormones affect the radiation dose-response relationship.,1,pubmed
More time for school lunches equals healthier choices for kids,1,press_release
Packing on the pounds in middle age linked to dementia,1,press_release
Postmenopausal women may be at higher risk of having a stroke than they think.,1,press_release
Processes of selective migration in and out of rural areas in England are complex and may partly explain urban-rural health inequalities.,1,haber
"No additional increased risk of CMs was observed in children of men with TGCC treated
with radio- or chemotherapy.",1,haber
"This study  suggests that lower weight men have an increased risk of attempted suicide and that  associations may extend into the ""normal"" BMI range.",1,haber
"Relatives of family members diagnosed with cancer are still at risk of the disease even if the diagnosis came at an older age, suggests a paper published on bmj.com today.",1,press_release
"Humans with a single dog in their bedroom maintained good sleep efficiency; however, the dog's position on/off the bed made a difference.",1,haber
Children exposed to 2 phthalates have elevated risk of asthma related airway inflammation,1,press_release
Antidepressants linked with increased risks after surgery,1,press_release
Coronary artery disease negatively influences the cumulative patency of vascular access.,1,pubmed
"In this large population-based study, children with RPD at the FAS had higher rates of hospital admissions when there was persistent dilatation in later pregnancy or postpartum.",1,haber
"The quality of life of these patients, after massive weight loss, is also highly improved by these procedures.",1,pubmed
Study finds highest reported BPA level in pregnant woman and associated abnormalities in infant,1,press_release
"Paracetamol and antibiotics administration in the first year were associated with early wheezing (first 2 years of life only) and with persistent wheezing (first 2 years + last 12 months), whereas the association with late-onset wheezing (in the last 12 months only) was weak.",1,haber
Older grandfathers pass on autism risk through generations,1,press_release
It has therefore contributed to an improved  understanding of epidemiology and disease burden and may in future contribute to  improved management and outcomes.,1,pubmed
"New research from the UC Davis Comprehensive Cancer Center, published in the Journal of Surgical Research, may help clinicians determine which patients are at highest risk for post-surgical blood clots in the legs or lungs.",1,press_release
These results suggest that hyperlipidemia and alterations in corticosteroid metabolism  in the setting of HAART are a direct drug effect that reverses with drug withdrawal.,1,pubmed
"This propensity matched analysis suggests that patients undergoing thoracoscopic surgical resection, particularly for larger tumors, might have improved cancer specific survival compared with patients undergoing SABR.",1,haber
"Women with polycystic ovary syndrome are more likely to have problems with pregnancy regardless of whether they are undergoing fertility treatment, claims new research published on bmj.com today.",1,press_release
"""Radioguided occult lesion localisation excels in yielding a much shorter localisation time and is as good as hookwire localisation in terms of specimen margin clearance and need for re-excision.""",1,pubmed
"Although the characteristics of people living in deprived neighbourhoods may influence the probability that a woman will experience IPV, higher-order contextual dynamics do not seem to affect this risk",1,haber
"Patients with idiopathic pulmonary fibrosis (IPF) who report treatment for gastroespophageal reflux (GER) appear to have longer survival than IPF patients who are not treated for GERD, according to a new study from the University of California, San Francisco.",1,press_release
High triglyceride levels found to predict stroke in older women,1,press_release
Young children exposed to anesthesia multiple times show elevated rates of ADHD,1,press_release
Ten years of behavioral weight loss intervention did not result in an overall difference in the prevalence of cognitive impairment among overweight  or obese adults with type 2 diabetes.,1,pubmed
"Among young survivors of first myocardial infarction followed-up longitudinally, smoking cessation is associated with lower risk of cancer. Reducing consumption among smokers may also be beneficial.",1,haber
"Fetal reduction to
twins and singletons was not associated
with a decreased risk of serious neonatal
morbidity or perinatal death.",1,haber
"Findings published in Arthritis & Rheumatism, a journal of the American College of Rheumatology (ACR), indicate that children with joint hypermobility are approximately twice as likely to develop pain at these joints.",1,press_release
"Despite  low education levels and computer experience, findings suggest that immediate parental knowledge was enhanced supporting the need for a more rigorous evaluation of this technology and its impact on health behaviors.",1,pubmed
"A newly published report reveals patients with epilepsy and low socioeconomic status (SES) are more likely to have uncontrolled seizures, drug-related side effects, and a lower overall quality of life.",1,press_release
