sentence,label,source
This finding is consistent with publicly-traded firms making relatively larger investments in environmental performance to assuage the concerns of investors.,3,ssc
"Instead, Andreoni (1995), among others, has suggested that this decrease might be due to ""frustrated attempts at kindness.""",2,ssc
"Here we show that, unlike material sanctions, moral judgments do not result in cycles of recrimination and tend to ""crowd in"" interpersonal trust, trustworthiness, and generosity.",3,ssc
"As a random-pairings session continues, some of these first-round cooperators get discouraged, and shift to defecting in the first round.",3,ssc
"Therefore, these results suggest that as people interact during repeated social dilemmas, over time men become increasingly more cooperative than women.",2,ssc
Results demonstrate that awareness tools providing information about highly cooperative group members encourage participants to trust one another and minimize the risk of being exploited.,3,ssc
"This is evidence that is consistent with the hypothesis that the Perfect Strangers treatment affects qualitative behavior, in the sense that it elicits more subjects to focus on the zero contribution response.",3,ssc
"n their interpretation of the way affect functions to alter behavior, Rosenhan et al. comment: Negative affect by definition increases the psychological distance between self and other.",3,ssc
"Since the same presentation of information was used in her experiment, significant positive effects of trust on group size was observed even in the experimental situation where only this minimal information about others' behavior was presented.",1,ssc
"It is the product of an evolutionary game in which intragroup cooperation enhances one's reputation within the group (Yamagishi & Mifune, 2008).",3,ssc
"Specifically, we expect authority contribution leaders to give more than randomly selected contribution leaders both because they recognize the positive influence that they can exert on others and because more of the mechanisms that make contribution leaders influential may be relevant when a local authority leads.",2,ssc
"The resulting increase in group distinctiveness can be expected to affect group perceptions (Spears et al., 1985;Acorn et al., 1988;fcfonnell et al., 1994) and ingroup favoritism should generally increase with salience of the ingroup (see the meta-analysis by Mullen et al., 1992).",2,ssc
"When the group boundaries are fixed, as they are in our research, jointness of supply has little direct effect on the provision of the public good.",3,ssc
"Conversely, when switching from short games to long games, participants immediately begin to cooperate at a high level.",3,ssc
Conducting the experiments in the structured and formal setting of an experimental laboratory decreases cooperation among our subjects.,3,ssc
"As a consequence, confounding effects such as reputation building through punishment or strategic reasons for punishing to increase cooperation in repeated interactions, as shown by Gächter et al. (2004) and Gächter and Herrmann (2009), can be excluded and a clear theoretical benchmark for standard preferences can be derived.",3,ssc
"For example, one study showed that when perceived moral levels were lower than participants' actual moral levels, the moral licensing effect resulted in reduction of the frequency of ethical behaviors, and when participants perceived higher moral levels, they showed an increase in ethical behavior [47].",3,ssc
"It might be the case that the resources contributed by the group members be as costly as resources arriving from outside of the community, but when states have limited funds and personnel, and when communities can derive other kind of gains from, say, participation in self-governing systems, such as increase in trust, social networks and ties, the comparison of externally imposed regulation systems to self-governance deserves also a policy level inquiry.",2,ssc
"While the behavior of subjects in the low-reward conditions is more ambiguous, it is congruent with the speculation that persons are not highly motivated to do well in the PD game when earnings are small, irrespective of the extent to which the rewards are equitable.",3,ssc
"The payoff of the lottery ticket depended on the result of a toss of a fair coin with ""heads"" resulting in a payoff of two dollars and ""tails"" resulting in no payoff.",3,ssc
"If participants in the Public Goods Game exhibit loss aversion, they will react more strongly to the prospect of being punished than to potential rewards; thus making punishment the more effective enforcement mechanism.",3,ssc
"While less information leads to more equal contributions, subjects focus on group efficiency in case of full information.",3,ssc
These models suggest that one's desire to help another person depends on one's beliefs about how helpful that other person is.,2,ssc
"However, on ratings of group performance, status and attitudinal similarity combined did lead to increased intergroup differentiation, again unaffected by goal relations.",3,ssc
"At the same time, campaigns for blood donation might benefit from clarification about who is eligible to donate and from efforts to reduce fear of the process of drawing blood.",2,ssc
It might be speculated that even greater manipulation of partner characteristics (perhaps established via pre-experiment communication with a stooge-partner) would affect the game strategies themselves.,2,ssc
"Because you contributed ten (10) points, your kept income is zero (0) points and your total income = 0+7.2=7.2 points.",3,ssc
Studies using the PDG have shown that emotional states and individual differences related to emotional traits influence cooperation.,1,ssc
"d = .92. 3 Due to the modest sample size for examining moderately highly correlated predictors in regression, we examined correlations to determine the most likely predictors of interest for future research.",1,ssc
"By taking the view that a confluence of individual and contextual factors induces aggressive behavior, we explore how individual proclivities for aggression and environmental circumstances conducive to aggression e neither of which are particularly rare in isolation e must co-occur to create the comparatively rare expression of aggressive behavior.",2,ssc
"Consequently, our results indicate that emoticons mainly affect behavior through the communication channel provided with it (feedback as pre-play communication).",3,ssc
"Contributions clearly increase in the leverage level of both institutions, irrespective of the treatment.",3,ssc
"This idea can be linked to the one in Kreps, Milgrom, Roberts, and Wilson (1982): if fully rational and egoistic individuals have the faintest suspicion they might be interacting with tit-fortat players, there is room for cooperative equilibria.",2,ssc
Subjects' reaction to punishment suggests that earnings feedback affects negatively their expectations about the contribution of their peers in the following period.,2,ssc
The conventional result of increasing reciprocity with increasing sender's trust is clearly the case for strongly pro-social individuals.,3,ssc
"However, we believe that excludability can (and does) provide an effective, low-cost way to induce cooperation, increase efficiency and support team production in social dilemmas and related situations.",2,ssc
"Social marginalization or even exclusion is that cost, and unless the personal payoffs for defection are extremely large, few group members are willing to pay that cost.",3,ssc
"As one can see, accounting for the treatment effect of the incentives inherent in these jobs further reduces the differences in the job category point estimates.",3,ssc
"When early humans used dogs as hunting partners, they most likely increased their intake of protein (Koster & Tankersley, 2012;Ruusila & Pesonen, 2004).",2,ssc
"But with simultaneous decisions, the risk that others might not cooperate can lead players to defect (the risk-dominant equilibrium).",2,ssc
"If one (or more) of the players is ""competitively oriented,"" he continues to exploit the other player or players until they must respond with self-protective noncooperation as well.",2,ssc
"When people perceive a relationship partner as highly agreeable, they feel more comfortable resolving conflicts (Jensen-Campbell et al., 2002) and are more inclined to solve conflicts through informal mechanisms (rather than including a third-party mediator; Morris, Leung, & Iyengar, 2004).",2,ssc
"Thus, moral judgments were an effective and efficient mechanism for fostering cooperation, solidarity, generosity, trust, and trustworthiness.",3,ssc
"A second experiment demonstrates that when electoral delegation must be endogenously implemented, individuals voluntarily cede authority to an elected agent only when preplay communication is permitted.",2,ssc
"Women with polycystic ovary syndrome are more likely to have problems with pregnancy regardless of whether they are undergoing fertility treatment, claims new research published on bmj.com today.",1,press_release
"Findings published in Arthritis & Rheumatism, a journal of the American College of Rheumatology (ACR), indicate that children with joint hypermobility are approximately twice as likely to develop pain at these joints.",1,press_release
"""However, this risk is independent of body mass index.""",1,pubmed
"Furthermore, these findings reveal that the benefits of  physical activity to improvements in cognitive function are particularly evident  among children who are obese.",1,pubmed
Dulaglutide improved glycemic control with the potential for weight loss in Hispanic/Latino patients with T2D.,1,pubmed
Antidepressants linked to increased risk of stroke  but risk is low,1,press_release
"The study suggested that both approaches, standard education and standard education plus web-based program, resulted in excellent knowledge scores, but not statistically significant difference between groups.",1,pubmed
"Race or ethnicity can be a significant clue in the United States as to who will survive a kind of stroke known as a subarachnoid hemorrhage and who will be discharged to institutional care, a new study has found.",1,press_release
WSU study finds overwhelming evidence of hidden heart disease in hypertensive African Americans,1,press_release
Effects increased for individuals with more advanced cancer stages.,1,pubmed
"Chronic kidney disease (CKD) is common and linked with heart disease in the very elderly, according to a study appearing in an upcoming issue of the Clinical Journal of the American Society Nephrology (CJASN).",1,press_release
