sentence,true_label,predicted_label,source
differences emerged suggesting worse health among those who gave birth,1,0,Haber
Using logistic regression we found African Americans were no different from Whites in seeking health information and using it when they talked with their doctors.,1,0,Haber
The performance of TaETM achieves the same results in terms of quality of life and anorectal function as conventional ETM.,1,0,Pubmed data.csv
"Because of the partner design, this yields 18 independent observations for each treatment.",1,0,Ssc
Registers are used for the most frequently needed data items to avoid having to access main memory every time data is needed .,1,0,altlex
Defra identified the different noises made by dogs and the meanings behind them .,1,0,semeval
"Although both are characterized by increased intestinally derived lipoprotein particles, HDL is reduced only in SCH.",1,0,Pubmed data.csv
"He was a trouble maker then , a leader in SDS , and a trouble maker he remains .",1,0,semeval
We did not see variation in the risk of urinary tract infection with the visibility of the urethral meatus among uncircumcised boys.,1,0,Haber
People made tools to help them remember where they were in a maths problem .,1,0,altlex
"Risk of CP in two Scandinavian countries was lower among educated parents and mothers with a partner, but unrelated to income.",1,0,Haber
"Besides, the relationship between increase of dietary  diversity and risk of obesity should be treated circumspectly.",1,0,Pubmed data.csv
"Thus, mammographic density should possibly influence adjuvant therapy decisions in the  future.",1,0,Pubmed data.csv
A small decrease in mean calories purchased per transaction was observed after implementation of calorie labeling in a large franchise of fast food restaurants.,1,0,Haber
Six glowing disks await activation by the footsteps of desert wanderers .,1,0,semeval
Hawaiian Gardens Gangmember Convicted Of Murdering Lakewood Stn . Sheriff's Deputy Jerry Ortiz,1,0,esl2
"Under the rules that apply when we have cabinet and cabinet-level officials, there are two opening statements on each side, the chairs and ranking members of the appropriate subcommittees.",1,0,because
Their regulator has made clear that they are adequately capitalized.,1,0,because
"Otherwise, if the accumulated gain explains the behaviour of the birds but the one trial gain does not, then the birds are making decisions based on the four trial reward and are playing a mutualism game.",1,0,Ssc
"I'm grateful to George Starke to have had the vision to set something like this up, not just for me but for all the students.",1,0,because
"The word ""song"" is used to describe the pattern of regular and predictable sounds made by some species of whales , notably the humpback whale .",1,0,semeval
His solution was to pay the Danes off : for almost 20 years he paid increasingly large sums to the Danish nobles in an attempt to keep them from English coasts .,1,0,altlex
"However , the Soviets changed their minds , fearing possible future Cuban militant steps , and on November 22 , 1962 , the Soviet Deputy Prime Minister Anastas Mikoyan told Castro that those rockets with the nuclear warheads were being removed too .",1,0,altlex
"The benefits of exercise for reducing risk of chronic disease, including CVD, are well known.",1,0,Pubmed data.csv
Previous research has shown that behavior aligns with self-interest only when self-interest is salient.,1,0,Ssc
"Although aeronautical warfare had relatively little success at the start of the war , actions at Taranto , Pearl Harbor , and the Coral Sea established the carrier as the dominant capital ship in place of the battleship .",1,0,altlex
