sentence,True Label,Predicted Label,source
"In the absence of external cooperative incentives, people often choose to rely selectively on others with whom they share a group membership (e.g., Brewer, 2000Brewer, , 2008;;Packer & Kugler, 2017).",causal,non-causal,Ssc
Both effects should cause increase in public-good provision at least at level 1.,causal,non-causal,Ssc
"The results of this study suggest that while it is true that people with an altruistic or cooperative orientation will participate more than those with an individualistic or competitive orientation, their participation is likely to be reduced if they observe other membersÕ defection behavior.",causal,non-causal,Ssc
"When players have the option of punishing each other after the contribution stage, the effect of the moral messages on contributions becomes persistent: punishments and moral messages interact to sustain cooperation.",causal,non-causal,Ssc
The consequence of these two evolutionary forces is that in equilibrium strong reciprocators and purely selfish humans coexist.,causal,non-causal,Ssc
"Thus, a leader who dislikes disadvantageous inequality would tend to opt for NEG as an incentive scheme.",causal,non-causal,Ssc
"Consistent with our second hypothesis, which predicts that relationship duration mediates the impact of tie strength on cooperation, we find that both the main effect of tie value and its interaction with the number of tie swaps are diminished, relative to Model 2. The main effect decreases by 64% (from −.069 to −.025), and the interaction with the number of tie swaps decreases by 65% (from .029 to .01).",causal,non-causal,Ssc
"Secondly, the experience of conflict may create or deepen ingroup identity, strengthening other-regarding preferences toward in-group members and making it more attractive to cooperate within groups.",causal,non-causal,Ssc
Subjects might have inferred from the capable-but-failing partner's behavior that he or she disvalued the task or the performance incentive.,causal,non-causal,Ssc
"We find that contributions are 56.6% higher when group composition is different across both public goods dilemmas as compared to when composition is the same across the two public goods dilemmas (M 1 = 17.7,",causal,non-causal,Ssc
"Nevertheless, individuals may form beliefs about who sanctioned them based on who sanctioned others, and may attempt to counter-punish based on this information.",causal,non-causal,Ssc
"In the game, a leader usually emerged and the leader's pleadings for cooperation were harder to ignore because all the players had experienced the results of greedy play.",causal,non-causal,Ssc
We did not obtain saliva samples from two participants because these two participants were short-termly recruited and not screened in advance for health and smoking absence (final N = 58).,causal,non-causal,Ssc
"Yet, when group identification was high, both leader types appeared to be equally efficient.",causal,non-causal,Ssc
"I felt proud of myself, because thanks to me my two friends talked, and solved their problem.",causal,non-causal,Ssc
More intelligent subjects were significantly more likely to vote for whichever of FS or IS was associated with higher earnings ex post.,causal,non-causal,Ssc
"On one hand, these findings partially confirm our speculation vis-à-vis the role of risk taking: reciprocators were not necessarily cooperators under conditions of uncertainty, as some of them chose to cooperate because they could bear a high risk in anticipating the counterpart's goodwill.",causal,non-causal,Ssc
"In other words, acceptance would be more common if the subjects' expectations were met because, although a shared concept of fairness exists, fairness is sensitive to different factors (personal, situational, and social) that influence expectations and fairness perception.",causal,non-causal,Ssc
"Given that tit for tat yielded greater outcomes than cooperative or noncooperative partners, and given that tit for tat has received considerable attention as a functional strategy, it is interesting to note that in social dilemmas in which locomotion is possible, tit for tat can do even better if this strategy is accompanied by locomotions to high interdependence rather than low interdependence.",causal,non-causal,Ssc
"If participants in the simultaneous game play the zero contribution equilibrium with some positive probability, then the comparative static of the low-fixed-cost treatment should still hold.",causal,non-causal,Ssc
"The public-goods literature finds that as groups increase in size individuals become more hesitant to cooperate and less able to coordinate actions (Franzen, 1995;Knez & Camerer, 1994).",causal,non-causal,Ssc
"Considering the relatively smaller groups (4 and 10 persons), they find that size only matters when the return on the public good is low, in which case, contributions actually increase in large groups.",causal,non-causal,Ssc
"Large coalitions mean few outsiders but, at the same time, high free-rider benefits if the coalition members fully internalize their mutual benefits.",causal,non-causal,Ssc
"Hence, it is attractive not to purchase a TV-license, but if too many do so, the good may not be provided at all.",causal,non-causal,Ssc
"If one (or more) of the players is ""competitively oriented,"" he continues to exploit the other player or players until they must respond with self-protective noncooperation as well.",causal,non-causal,Ssc
My understanding of people's ideas about cooperation in Kamchatka was significantly enhanced by the opportunity to refer back to the game when explaining my thoughts and posing my questions.,causal,non-causal,Ssc
"Certainly, strong social bonds make visualizations of others easier, providing a firmer impetus for volunteering.",causal,non-causal,Ssc
"Collectively, these informal sanctions provide a powerful mechanism for guiding social behavior.",causal,non-causal,Ssc
"Because you contributed ten (10) points, your kept income is zero (0) points and your total income = 0+7.2=7.2 points.",causal,non-causal,Ssc
"It is anticipated here that in the absence of an established distribution rule (uncertainty), the division of resources among individuals in group and coalition distributions will be anchored by cues from the surrounding context.",causal,non-causal,Ssc
This effect would be due primarily to the significantly lower amount of cooperation for subjects assigned to the low potential reward position.,non-causal,causal,Ssc
The present results indicate that the failure might not be due to an unrepresentativeness of game situations to typical interpersonal interactions.,non-causal,causal,Ssc
Participants might honestly imagine that they would be generous in a certain situation with hypothetical rewards yet choose selfishly when real rewards are offered.,non-causal,causal,Ssc
"This interpretation was supported by the results of Study 2, which directly tested subgroup reputation as a moderating influence on organizational identification.",non-causal,causal,Ssc
"The correlation between contributions and other-team beliefs is lower (Spearman's = 0.31, p < 0.01), but still indicative of a positive relationship.",non-causal,causal,Ssc
"Result 3: Individual cooperation rates are higher at the beginning of RPD games than at the beginning of the sequence of one-shot PD games, particularly for high reasoning ability subjects.",non-causal,causal,Ssc
"In the standard symmetric independent private values model in which ω i (d i ) = 0, Myerson's (1981) revenue equivalence result shows that, given that the charity never keeps the prize, it maximizes its revenue if it always allocates the prize to the donor with the highest marginal revenue.",non-causal,causal,Ssc
"First, we can assess the correlation between beliefs and contributions, which we expect to differ between types of players and which helps us to check on the player type as elicited in the P-experiment.",non-causal,causal,Ssc
"And the more a participant contributes, the less he or she earns.",non-causal,causal,Ssc
"The follow-up independent t-tests (Table 1) revealed that MAOA-L carriers exhibited significantly lower beliefs about others' contribution in stage one (P~0:013), stage two (P~0:037), and stage three (P~0:039), but not in stage four (P~0:421).",non-causal,causal,Ssc
This indicates that some realizations (depending on l and b) of the coevolutionary game give rise to compact clusters of players.,non-causal,causal,Ssc
Rather than imitating an other who adopted a noncontingently cooperative strategy subjects exploited the simulated other.,non-causal,causal,Ssc
"However, if categorization does impact trust, why did S. L. Gaertner and Rust's (2000) study and our pilot studies fail to find a significant effect of categorization manipulations on PDG choices?",non-causal,causal,Ssc
"Unconditional contribution impacts negatively the probability of being leader, but this result is not robust and is significant only at the 10 % level. 14",non-causal,causal,Ssc
Tobit Random Effects Regressions on Public Good Contribution: Effect of Disapproval Points in Punishment Treatment,non-causal,causal,Ssc
"While the same zero-contribution equilibrium as in the unconstrained case exists for the same range of social returns, the resource constraint also allows for other more efficient equilibria.",non-causal,causal,Ssc
"A linear regression with random effects with RT as the dependent variable shows a marginally significant effect of SVO (B ¼ À0.58, 95% CI [À1.27 to 0.11], P value ¼ 0.1), and a significant effect of trial number (B ¼ À0.01, 95% CI [À0.011 to À0.0091], P value < 0.001, Wald v 2 ¼ 413.20).",non-causal,causal,Ssc
"Although no large difference between the original and reactive model was found when explaining the behavior of human participants in the current experiment, we would predict a larger difference in the behavior of these two models under circumstances where the other player changes its behavior.",non-causal,causal,Ssc
Competition for access to mates could indeed select for cooperation.,non-causal,causal,Ssc
We can once again interpret these data as demonstrating that in this context it is the social nature of information which influenced behavior toward others.,non-causal,causal,Ssc
"Second, the present study only weakly corroborated a previous characterization of the effects of ingroup cohesion upon intergroup biases.",non-causal,causal,Ssc
"However, if the responder rejected the proposal, neither participant would earn any money.",non-causal,causal,Ssc
An extension of the model in (1) by adding terms b ih jx hj À y hj j could capture such preferences.,non-causal,causal,Ssc
"An additional analysis that investigated the relationships among decision frame, decision, and expectations revealed that the significant relationship between decision frame and expectations (F = 5.11, p < .05)",non-causal,causal,Ssc
"Hence, in the opportunity cost effect we have a strict ranking whereby the individual game generates superior replacement players to the group game, and the group game to no information.",non-causal,causal,Ssc
"This scenario holds virtually irrespective of b, only that for strong temptations to defect the clusters of cooperative players become larger, and accordingly larger is also the clustering coefficient presented in Fig. 3.",non-causal,causal,Ssc
"However, the practices underlying these subsistence strategies-and the cultural norms and values that inform them-have undergone dramatic transformations, first through Soviet-era collectivization and cultural construction, then later in response to post-Soviet privatization and Perestroika.",non-causal,causal,Ssc
"Fourth, cooperation and trust are not related to affiliation tendencies, but strongly related to betrayal aversion.",non-causal,causal,Ssc
"However, by cooperating, P also ensures that the gain to OP is 2 units (regardless of OP's choice): If P cooperates and OP cooperates, OP earns 3 units (rather than 1, if P had defected); if P cooperates and OP defects OP earns 4 units (rather than 2, if P had defected).",non-causal,causal,Ssc
