sentence,true_label,predicted_label,source
"A linear regression with random effects with RT as the dependent variable shows a marginally significant effect of SVO (B ¼ À0.58, 95% CI [À1.27 to 0.11], P value ¼ 0.1), and a significant effect of trial number (B ¼ À0.01, 95% CI [À0.011 to À0.0091], P value < 0.001, Wald v 2 ¼ 413.20).",0,1,Ssc
When communication within teams is possible communication is an efficient means to coordinate team members' efforts at higher levels and to reduce the free-rider problem within teams.,1,0,Ssc
"The maintenance of social norms often depends on external enforcement, as in the absence of credible sanctioning mechanisms prosocial behaviour deteriorates quickly.",1,0,Ssc
"Of these, 14 failed an attention check or to complete the study, leaving a total of n ϭ 386 (133 females, M age ϭ 33.9).",0,1,Ssc
Our observation that angry subjects contribute less could be the result of a change in social preferences or a change in beliefs about the behaviour of others.,1,0,Ssc
Previous research has shown that behavior aligns with self-interest only when self-interest is salient.,1,0,Ssc
"Participants were advised that part of the experiment (T2 condition, see below) was not suitable for people with back or knee problems; any participants who said this would not be suitable for them were assigned to another condition.",0,1,Ssc
"Further, because direct reciprocity was not possible in our experiments, sharing arrangements were not self-enforcing.",1,0,Ssc
An important consequence of this increase in average effort is that the aggregate monetary payoff increases by 40% even if one takes the payoff reductions that result from actual punishments into account.,1,0,Ssc
"Because you contributed ten (10) points, your kept income is zero (0) points and your total income = 0+7.2=7.2 points.",1,0,Ssc
"This implies that conflict increases parochialism both by increasing preferences for in-group cooperation, and by decreasing preferences for out-group cooperation.",1,0,Ssc
"As to the control variables, the number of members is significant and negative, indicating that groups with more members are less likely to be in the zero delinquency category.",1,0,Ssc
"Although a principally exploitative relationship between owners and drivers does not necessarily improve intergroup relations, familiarity with intergroup economic ties may explain the lack of ethnic bias in the laboratory game.",1,0,Ssc
"Otherwise, if the accumulated gain explains the behaviour of the birds but the one trial gain does not, then the birds are making decisions based on the four trial reward and are playing a mutualism game.",1,0,Ssc
Subjects are divided into groups of size 5.,0,1,Ssc
"Cooperative corporate culture can be nurtured by starting small, as Weber (2006)  shows experimentally with a coordination game.",1,0,Ssc
The direct implication is that happiness is good for worker productivity and in turn good for firms' profits.,1,0,Ssc
We scrutinized the subjects who targeted the highest contributor and why they did it.,0,1,Ssc
"In particular, in the S-treatment the anticipation of social reward and disapproval may become more salient in later periods leading to higher contributions in the final periods than under anonymity.",1,0,Ssc
It was concluded that the high degree of competitiveness typically found in PD game studies may be largely a function of the isolation imposed on the subjects by the experimenter.,1,0,Ssc
"As actors participate in the production of public goods, processes of social comparison may affect the decisions about the individual contributions as well as the endogenously changing structure of an underlying social network.",1,0,Ssc
"First, the higher the payoff foregone by a freerider when not receiving rewards, the more likely he/she is to act (more) cooperatively in the social dilemma game in order to attract rewards.",1,0,Ssc
"In addition, results from the laboratory experiments reveal that subjects donate less when they are aware that an individual could have announced support but chose not to do so.",1,0,Ssc
