sentence,True Label,Predicted Label,Source
The gains or losses incurred by the players on each trial are dependent on choices made by both of them between two available behaviors.,3,1,ssc
"Both the Outcome for Others and the Equality of Outcomes depend on others, meaning when the total group is greater than two people, these others' properties are combinations of multiple people's behaviors, not just a single individual's behavior.",1,2,ssc
"Thus, because an elected leader refl ects the choice of the group and its members, an elected leader will feel strong support from the followers who will bestow on the leader a high sense of social responsibility ( Julian, Hollander, & Regula, 1969;Kenney et al., 1996).",3,1,ssc
The amount of communication allowed in a game thus appears to be a decisive factor in clarifying and specifying the contradictory evidence on sex differences in cooperation.,2,3,ssc
But since the payoff for mutual defection is smaller than the payoff for mutual cooperation (fwo) the dilemma arises on what to choose if having in mind also the welfare of the society and not just personal interests.,2,1,ssc
"When everyone has made a choice, the outcome and the choices of the other members of your committee are revealed, and this determines your earnings for the match.",3,1,ssc
"Fear is associated with the goal to avoid risk, which in a social dilemma induces a tendency to avoid exploitation or loss.",2,3,ssc
"Interacting with others in large populations without structure greatly reduces the likelihood of cooperation (11), but in a fixed social network cooperation can evolve as a consequence of repeated interactions because of ""social viscosity,"" even in the absence of reputation effects or strategic complexity (1,2).",3,2,ssc
"But you should also be careful not to ask for too much, because if at the end of the study everyone's requests add up to more than the $1,000 that is in the pool, then nobody, including yourself, will receive anything.",2,3,ssc
"The maintenance of social norms often depends on external enforcement, as in the absence of credible sanctioning mechanisms prosocial behaviour deteriorates quickly.",3,2,ssc
"We predicted that in absence of a sanctioning system, people would show little support for a sanctioning system unless there is collective inefficiency, and that in presence of a sanctioning system, people would support the sanctioning system, irre-spective of the information people have concerning collective (in)efficiency.",2,1,ssc
"In the context of the present experiment, the conjecture of ""indecision by indifference"" would imply that subjects that are quoted a monetary reward that is sufficiently close to their maximum willingness to pay would find the decision more difficult and therefore require more time for a decision.",2,3,ssc
"At the opposite, people do not have a strong adverse reaction to external regulation and follow the elected rules because there is a general and specific trust that others will also follow the rules.",3,1,ssc
"In two behavioral experiments, we offer individuals the latter possibility: Participants can work together to increase the total size of the pie and hence increase the size of their own slice.",2,1,ssc
"We find that contributions are 56.6% higher when group composition is different across both public goods dilemmas as compared to when composition is the same across the two public goods dilemmas (M 1 = 17.7,",3,1,ssc
"When the objective incentives remain identical, these studies showed that framing the dilemma in terms of ""taking from"" instead of ""contributing to"" increases cooperation (Brewer and Kramer, 1986).",3,1,ssc
These results suggest that the shared outcomes involved in cooperation did increase cohesiveness.,3,2,ssc
"In contrast, increasing individuals' awareness of their mortality apparently leads them to base their donation decisions on the social desirability of providing help, as reflected in the amount of help provided in the past (Experiments 1-3) and others' preferences (Experiment 4).",3,2,ssc
The consequence of these two evolutionary forces is that in equilibrium strong reciprocators and purely selfish humans coexist.,1,3,ssc
There are indications that the unequal range of pay-off accelerated the observed trends rather than reversing them.,2,3,ssc
"The institutional mechanism implemented in Study 1 is richer than an ultimatum game and simultaneously changes the incentive structure depending on the priors of the participants: if players believe that others will contribute at levels just above the lowest current contributor, and believe that others believe this, pure self-interest will generate the observed ratchet pattern.",2,3,ssc
It is possible that people's ability to estimate the equal choice may decrease as the number of others with whom they are sharing a nonpartitioned resource increases.,2,1,ssc
