sentence,true_label,predicted_label,source
"These were participants with little or no experience from economic games, because, according to the SHH, there will be a negative deliberation effect on cooperation only for subjects with limited experience from economic games and other ""artificial lab environments"" (Rand et al., 2014).",1.0,0.0,ssc
"A number of studies have argued that survey-based measures have to be treated with caution in the CDD context and that this may explain the mixed evidence on CDD and social capital in the first place (Avdeenko & Gilligan, 2015;Ban et al., 2015;Mansuri & Rao, 2013;Wong, 2012).",1.0,0.0,ssc
"When the objective incentives remain identical, these studies showed that framing the dilemma in terms of ""taking from"" instead of ""contributing to"" increases cooperation (Brewer and Kramer, 1986).",2.0,1.0,ssc
"It is now well established that imagined contact can facilitate more positive intergroup attitudes and friendship-related emotions (Crisp & Turner, 2009).",1.0,0.0,ssc
"Because we conjectured that the opportunity for punishing would have a larger impact if subjects could learn about the behaviour of other group members, we repeated the basic public goods gameÐwith and without punishment opportunity, depending on the treatmentÐfor six periods.",1.0,2.0,ssc
"Gaining from the public good provided by their group, subjects increased their initial budget of 200 Rs by 59%.",2.0,0.0,ssc
Despite the interesting balance of incentives provided by introducing competition in the workplace -on one hand individual workers may exert more effort to win promotion or make more money while on the other overall production might suffer because of the lack of cooperation among workers -there has been remarkably little empirical work estimating the effect of competition on workplace cooperation.,1.0,0.0,ssc
Isaac and Walker (1988b) present experimental evidence that the ability to talk among group members participating in a public goods game leads to increased cooperation in the form of higher contributions and lower free-riding.,2.0,0.0,ssc
"n their interpretation of the way affect functions to alter behavior, Rosenhan et al. comment: Negative affect by definition increases the psychological distance between self and other.",2.0,0.0,ssc
"Under naturally occurring circumstances, search costs and switching costs, as well as fluctuations in individual performance, tend to delay regrouping.",0.0,1.0,ssc
"II it was predicted that Ss would exploit an egotistical opponent to a greater extent when future interaction was anticipated than when it was not, but that when the opponent was seen to be self-effacing Lhe reverse would be true.",1.0,0.0,ssc
"If it is true that antisocial punishment is based on the intuitive system and especially likely executed by individuals with a proneness to sadistic tendencies, then the inhibition of the intuitive system should reduce antisocial punishment in individuals with a proneness to sadistic tendencies.",1.0,0.0,ssc
"We found that when people's mortality was not called to their attention, a need-focused appeal had more influence on their donation decisions than a bandwagon appeal.",2.0,0.0,ssc
Increased average contributions with excludability are caused by significantly fewer free riders and more full contributors,,,
"Depending on the parametrization, this new game can have egalitarian equilibria as well as asymmetric solutions, leaving one player worse off.",1.0,0.0,ssc
"For if such a 'high-trust' society were characterized by the existence of many separate groups producing public goods with negative externalities for each other, the overall result would likely be worse than would have been the case had trust been low.",1.0,0.0,ssc
When designing emotional agents we have shown how the addition of mood can be used to enhance the decision-making aspect of that agent.,2.0,0.0,ssc
"We find that third parties punished more frequently, severely and less antisocially, resulting in a higher contribution level than that driven by second-party punishment.",2.0,0.0,ssc
This improves the earnings for those groups but the lowest earnings are not too different and this pulls the overall average earnings down to look more similar across treatments.,2.0,1.0,ssc
"In models based on income differences, if responders care for the utility of the other responder, then in addition to receiving disutility because the take authority has a higher income than they do, they will also receive disutility because the take authority has higher income than their friend does.",2.0,0.0,ssc
More intelligent subjects were significantly more likely to vote for whichever of FS or IS was associated with higher earnings ex post.,0.0,1.0,ssc
Our studies suggest that sometimes coordination can be easily promoted by simply pointing out to people that certain information is available to all people involved.,1.0,0.0,ssc
"In many social-game protocols, ranging from gift-exchange over ultimatum bargaining to public-good situations, human behaviour differs substantially from the Nash-equilibrium that results if we assume that players care only about their own monetary payoff.",1.0,0.0,ssc
"If industries can relocate easily, then the level of pollution would depend on the country with the weakest environmental regulation.",1.0,0.0,ssc
"Consequently, our results indicate that emoticons mainly affect behavior through the communication channel provided with it (feedback as pre-play communication).",2.0,0.0,ssc
"The alternative model predicts the following predictions: P 1 : When there is no tax imposed, individual contributions will exceed 5. P 2 : When a tax of 3 is imposed, total individual contributions will exceed the individual contributions made when there is no tax imposed.",1.0,2.0,ssc
The fothfun mechanism thus leads to less cooperation than in the baseline case with no punishment if the detrimental effect of retaliatory punishment is greater than the positive norm-enforcing effect of punishment.,1.0,0.0,ssc
The paying taxes label should then lead to contributions comparable to those participants who do not spontaneously associate the public goods game with teamwork.,2.0,1.0,ssc
"For the present purposes, we opted against counterbalancing, due to the demands that this would have placed on the number of different sequential arrangements, as well as a balanced distribution of young and old girls and boys.",2.0,1.0,ssc
They produce evidence to support the notion that a greater MPCR distance increases contribution by making the gains from cooperation in the social dilemma more salient for all group members. 18,2.0,0.0,ssc
"However, there are also reasons to think that the treatment will lead to low contributions, since the reaction to the comprehension/advice combination may be defensive.",1.0,0.0,ssc
"This interpretation suggests that if the factors that weaken the case for the dominant or competitive choice were eliminated in the repeated-play PD, the prescriptive behavior would be obtained.",1.0,0.0,ssc
"If industries can relocate easily, then the level of pollution would depend on the country with the weakest environmental regulation.",2.0,0.0,ssc
"Without data on both expectations and contributions, it can be difficult to identify the strategies adopted by participants in economic games, a necessary step to test fully theories of cooperation.",1.0,0.0,ssc
Bargainers with a significant threat tend to threaten and fine more often.,0.0,1.0,ssc
Both effects should cause increase in public-good provision at least at level 1.,1.0,0.0,ssc
If all participants adopt the strategy of never using the bus then they will each receive an earning of £25.,1.0,0.0,ssc
The original MGE had a strong effect because it involved allocation of tangible rewards,,,
"Since the motorization of fishing boats in the early 1930s, competition among fishing units for access to the shiroebi stock has become a chronic problem.",2.0,1.0,ssc
"First, models of information signaling have shown that sequential giving can have beneficial effects for voluntary public good provision when the common value of the public good is uncertain.",1.0,0.0,ssc
"But you should also be careful not to ask for too much, because if at the end of the study everyone's requests add up to more than the $1,000 that is in the pool, then nobody, including yourself, will receive anything.",1.0,0.0,ssc
"The extent of individual cooperation tends to be higher among high-identifying individuals, either because they place greater value in the good itself (De Cremer & Van Vugt, in press;Kerr, 1996), because they have greater trust in the cooperative intentions of fellow group members (Brann & Foddy, 1987;Brewer & Kramer, 1986;Kramer & Brewer, 1984), or both.",0.0,1.0,ssc
"If there were no time value, then there would be no advantage to hiring an agent first (since the other party would respond by hiring an agent instantaneously), and therefore a prisoner's dilemma could not exist.",1.0,0.0,ssc
"In our study, by perceiving the punishment executer to be human, we show that such a rule could emerge spontaneously because the rule benefits the punishment executers themselves.",2.0,0.0,ssc
"The maintenance of social norms often depends on external enforcement, as in the absence of credible sanctioning mechanisms prosocial behaviour deteriorates quickly.",2.0,0.0,ssc
"Due to the missing information on individual evasion of other group members, there is no potential for a contagion effect in the baseline treatment.",2.0,0.0,ssc
"Because the cooperate-cooperate outcome produces more wealth than any other, optional entry will increase social welfare.",2.0,0.0,ssc
"We consider nondivisibility to be the more important factor in determining individual members' willingness to contribute to the provision of the public good, because it directly affects the value of the good to the individual.",2.0,0.0,ssc
"Thus, we compare people who hold the evoked identity to people who are familiar with, but who do not hold, that identity: if identity is important in the current effects, those who do not hold the evoked identity will not be affected by identity-salience manipulations.",1.0,0.0,ssc
"This idea can be linked to the one in Kreps, Milgrom, Roberts, and Wilson (1982): if fully rational and egoistic individuals have the faintest suspicion they might be interacting with tit-fortat players, there is room for cooperative equilibria.",1.0,0.0,ssc
"The public-goods literature finds that as groups increase in size individuals become more hesitant to cooperate and less able to coordinate actions (Franzen, 1995;Knez & Camerer, 1994).",2.0,0.0,ssc
"As is argued in the literature, the effects of these punishments are clear: cooperation is established and maintained Sefton, Shupp & Walker (2002).",2.0,0.0,ssc
"In particular, participating in a low-payment choice before making a high-payment choice magnifies the scale of the utility received/payoff from the subsequent task.",2.0,1.0,ssc
"Then, the higher is the contribution of the human player required to achieve the non-cooperative optimum, the lower is the expected proportion of ambiguity averse choices.",2.0,0.0,ssc
