sentence,true_label,predicted_label,source
"These were participants with little or no experience from economic games, because, according to the SHH, there will be a negative deliberation effect on cooperation only for subjects with limited experience from economic games and other ""artificial lab environments"" (Rand et al., 2014).",1,2,ssc
"First, the higher the payoff foregone by a freerider when not receiving rewards, the more likely he/she is to act (more) cooperatively in the social dilemma game in order to attract rewards.",0,1,ssc
"Under naturally occurring circumstances, search costs and switching costs, as well as fluctuations in individual performance, tend to delay regrouping.",0,2,ssc
The results suggest that remembering an experience of rejection can trigger anger and ruminating on being rejected can trigger indirect aggression.,0,1,ssc
"We found that when people's mortality was not called to their attention, a need-focused appeal had more influence on their donation decisions than a bandwagon appeal.",2,1,ssc
"Yet, when group identification was high, both leader types appeared to be equally efficient.",1,2,ssc
"Identifying the strategy employed by players engaged in an IPD could also have wider implications for understanding the determinants of social conflicts in general, and help to design effective methods for ameliorating these problems.",0,1,ssc
More intelligent subjects were significantly more likely to vote for whichever of FS or IS was associated with higher earnings ex post.,0,1,ssc
Our studies suggest that sometimes coordination can be easily promoted by simply pointing out to people that certain information is available to all people involved.,1,0,ssc
"In many social-game protocols, ranging from gift-exchange over ultimatum bargaining to public-good situations, human behaviour differs substantially from the Nash-equilibrium that results if we assume that players care only about their own monetary payoff.",1,2,ssc
"Consequently, our results indicate that emoticons mainly affect behavior through the communication channel provided with it (feedback as pre-play communication).",2,0,ssc
"In two behavioral experiments, we offer individuals the latter possibility: Participants can work together to increase the total size of the pie and hence increase the size of their own slice.",1,2,ssc
"The alternative model predicts the following predictions: P 1 : When there is no tax imposed, individual contributions will exceed 5. P 2 : When a tax of 3 is imposed, total individual contributions will exceed the individual contributions made when there is no tax imposed.",1,2,ssc
It is therefore possible that the higher rates of cooperation in PD are (partly) due to the smaller size of the action set.,0,2,ssc
The fothfun mechanism thus leads to less cooperation than in the baseline case with no punishment if the detrimental effect of retaliatory punishment is greater than the positive norm-enforcing effect of punishment.,1,2,ssc
The paying taxes label should then lead to contributions comparable to those participants who do not spontaneously associate the public goods game with teamwork.,2,1,ssc
"For the present purposes, we opted against counterbalancing, due to the demands that this would have placed on the number of different sequential arrangements, as well as a balanced distribution of young and old girls and boys.",2,1,ssc
"If industries can relocate easily, then the level of pollution would depend on the country with the weakest environmental regulation.",2,1,ssc
"We find that contributions are 56.6% higher when group composition is different across both public goods dilemmas as compared to when composition is the same across the two public goods dilemmas (M 1 = 17.7,",2,1,ssc
